#Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1920	0	0	0	0	2	1	3	0	2	0	1	0
1921	0	0	0	1	6	1	1	4	2	0	0	0
1922	0	0	1	0	0	1	2	1	1	0	0	0
1923	0	0	0	1	0	3	3	5	1	2	0	0
1924	0	0	0	0	4	3	2	1	0	2	0	0
1925	0	0	1	2	0	3	3	0	1	1	0	0
1926	0	0	0	3	0	0	2	0	3	0	1	0
1927	0	0	0	1	5	2	3	3	0	1	0	0
1928	0	0	1	0	3	4	0	1	0	0	0	0
1929	0	0	0	0	1	0	4	3	1	0	0	0
1930	0	0	2	0	1	2	4	1	5	0	0	0
1931	0	0	0	1	3	2	0	3	0	0	0	1
1932	0	0	0	1	0	3	6	4	0	0	0	1
1933	0	0	0	0	0	2	2	0	1	0	0	0
1934	0	0	0	0	1	3	4	5	1	0	0	0
1935	0	0	0	0	0	2	3	0	1	0	0	0
1936	0	0	0	1	2	1	1	4	1	0	0	0
1937	0	0	1	0	2	1	4	2	2	0	0	0
1938	0	0	0	0	2	0	3	1	0	1	0	0
1939	0	0	0	3	3	2	1	1	1	0	1	0
1947	0	0	0	0	0	4	2	4	2	0	0	0
1948	0	0	0	0	2	2	5	1	5	0	0	0
1949	0	1	0	0	0	4	0	2	1	1	1	0
1950	0	0	0	0	2	0	2	1	2	2	0	0
1951	0	0	0	0	4	4	1	4	0	1	0	0
1952	0	0	0	0	0	4	0	1	8	0	0	0
1953	0	0	0	0	2	2	1	3	4	0	0	1
1954	0	0	0	0	0	0	1	2	1	0	1	0
1955	0	0	0	1	4	1	4	4	0	0	0	0
1956	1	0	0	1	0	2	1	2	0	0	0	0
1957	0	1	0	0	6	2	3	3	2	0	0	0
1958	0	0	0	0	2	1	4	0	5	0	0	0
1959	0	1	0	3	0	5	1	4	3	0	0	0
1960	0	0	0	0	1	4	1	4	1	0	2	0
1961	0	0	0	1	1	1	3	2	3	0	1	0
1962	0	0	0	0	1	3	0	0	2	1	0	0
1963	0	0	0	0	0	0	2	0	0	0	0	0
1964	0	0	0	0	2	0	0	2	3	3	0	0
1965	0	0	0	2	1	1	2	0	6	0	0	0
1966	0	0	0	1	1	6	3	1	0	0	0	0
1967	0	0	0	2	0	3	1	5	1	0	0	0
1968	0	0	1	0	1	4	2	6	0	0	0	0
1969	0	0	0	1	2	2	1	2	0	1	0	0
1970	0	0	0	0	3	2	1	2	2	1	0	0
1971	0	0	0	0	1	3	2	3	0	0	0	1
1972	0	0	0	1	5	4	0	4	1	0	1	0
1973	0	0	0	0	4	2	5	4	3	0	0	0
1974	0	0	0	1	2	2	1	1	1	5	0	1
1975	0	0	0	3	3	4	2	3	0	4	0	0
